,Unnamed: 0,Season,Name,Transfer Sum,From,FromCountry,FromLanguage,FromLanguageFamily,To,ToCountry,ToLanguage,ToLanguageFamily
3684,3684,13/14,David Marazzi,?,FC Aarau,Switzerland,German,Germanic,Servette FC,Switzerland,French,Romance
3688,3688,12/13,Remo Staubli,100 Tsd. €,FC Zürich,Switzerland,German,Germanic,FC Aarau,Switzerland,German,Germanic
3714,3714,12/13,Pascal Schürpf,Leih-Ende,FC Aarau,Switzerland,German,Germanic,FC Basel,Switzerland,German,Germanic
3722,3722,11/12,Remo Staubli,,FC Zürich,Switzerland,German,Germanic,FC Aarau,Switzerland,German,Germanic
3723,3723,11/12,Pascal Schürpf,,FC Basel,Switzerland,German,Germanic,FC Aarau,Switzerland,German,Germanic
3724,3724,11/12,Nico Siegrist,,FC Luzern,Switzerland,German,Germanic,FC Aarau,Switzerland,German,Germanic
3725,3725,11/12,Daniel Fanger,,FC Luzern,Switzerland,German,Germanic,FC Aarau,Switzerland,German,Germanic
3736,3736,11/12,Loris Benito,ablösefrei,FC Aarau,Switzerland,German,Germanic,FC Zürich,Switzerland,German,Germanic
3754,3754,20/21,Joël Schmied,?,BSC Young Boys,Switzerland,German,Germanic,FC Vaduz,Switzerland,German,Germanic
3755,3755,20/21,Linus Obexer,Leihe,BSC Young Boys,Switzerland,German,Germanic,FC Vaduz,Switzerland,German,Germanic
3763,3763,20/21,Noah Frick,ablösefrei,FC Vaduz,Switzerland,German,Germanic,Xamax,Switzerland,French,Romance
3766,3766,20/21,Linus Obexer,Leih-Ende,FC Vaduz,Switzerland,German,Germanic,BSC Young Boys,Switzerland,German,Germanic
3767,3767,19/20,Yannick Schmid,ablösefrei,FC Luzern,Switzerland,German,Germanic,FC Vaduz,Switzerland,German,Germanic
3772,3772,19/20,Tunahan Cicek,ablösefrei,Xamax,Switzerland,French,Romance,FC Vaduz,Switzerland,German,Germanic
3775,3775,19/20,Dominik Schwizer,Leihe,FC Thun,Switzerland,German,Germanic,FC Vaduz,Switzerland,German,Germanic
3779,3779,19/20,Andreas Hirzel,176 Tsd. €,FC Vaduz,Switzerland,German,Germanic,FC Thun,Switzerland,German,Germanic
3816,3816,18/19,Noah Blasucci,ablösefrei,FC Vaduz,Switzerland,German,Germanic,FC Sion,Switzerland,French,Romance
3829,3829,17/18,Milan Gajic,ablösefrei,BSC Young Boys,Switzerland,German,Germanic,FC Vaduz,Switzerland,German,Germanic
3833,3833,17/18,Enrico Schirinzi,ablösefrei,FC Thun,Switzerland,German,Germanic,FC Vaduz,Switzerland,German,Germanic
3834,3834,17/18,Tomislav Puljic,ablösefrei,FC Luzern,Switzerland,German,Germanic,FC Vaduz,Switzerland,German,Germanic
3846,3846,17/18,Moreno Costanzo,ablösefrei,FC Vaduz,Switzerland,German,Germanic,FC Thun,Switzerland,German,Germanic
3853,3853,16/17,Moreno Costanzo,300 Tsd. €,BSC Young Boys,Switzerland,German,Germanic,FC Vaduz,Switzerland,German,Germanic
3858,3858,16/17,Gonzalo Zárate,ablösefrei,FC Thun,Switzerland,German,Germanic,FC Vaduz,Switzerland,German,Germanic
3864,3864,16/17,Aldin Turkes,?,FC Zürich,Switzerland,German,Germanic,FC Vaduz,Switzerland,German,Germanic
3871,3871,16/17,Pascal Schürpf,?,FC Vaduz,Switzerland,German,Germanic,FC Luzern,Switzerland,German,Germanic
3880,3880,15/16,Armando Sadiku,Leihe,FC Zürich,Switzerland,German,Germanic,FC Vaduz,Switzerland,German,Germanic
3885,3885,15/16,Moreno Costanzo,Leihe,BSC Young Boys,Switzerland,German,Germanic,FC Vaduz,Switzerland,German,Germanic
3887,3887,15/16,Thomas Fekete,Leihe,BSC Young Boys,Switzerland,German,Germanic,FC Vaduz,Switzerland,German,Germanic
3890,3890,15/16,Markus Neumayr,100 Tsd. €,FC Vaduz,Switzerland,German,Germanic,FC Luzern,Switzerland,German,Germanic
3899,3899,15/16,Naser Aliji,Leih-Ende,FC Vaduz,Switzerland,German,Germanic,FC Basel,Switzerland,German,Germanic
3901,3901,14/15,Naser Aliji,Leihe,FC Basel,Switzerland,German,Germanic,FC Vaduz,Switzerland,German,Germanic
3902,3902,14/15,Pascal Schürpf,ablösefrei,FC Basel,Switzerland,German,Germanic,FC Vaduz,Switzerland,German,Germanic
3903,3903,14/15,Florian Stahel,ablösefrei,FC Luzern,Switzerland,German,Germanic,FC Vaduz,Switzerland,German,Germanic
3908,3908,14/15,Hekuran Kryeziu,Leihe,FC Luzern,Switzerland,German,Germanic,FC Vaduz,Switzerland,German,Germanic
3909,3909,14/15,Andreas Hirzel,?,FC Aarau,Switzerland,German,Germanic,FC Vaduz,Switzerland,German,Germanic
3920,3920,13/14,Markus Neumayr,ablösefrei,AC Bellinzona,Switzerland,Italian,Romance,FC Vaduz,Switzerland,German,Germanic
3921,3921,13/14,Pavel Pergl,ablösefrei,AC Bellinzona,Switzerland,Italian,Romance,FC Vaduz,Switzerland,German,Germanic
3924,3924,13/14,Philipp Muntwiler,?,FC Luzern,Switzerland,German,Germanic,FC Vaduz,Switzerland,German,Germanic
3925,3925,13/14,Kwang-ryong Pak,Leihe,FC Basel,Switzerland,German,Germanic,FC Vaduz,Switzerland,German,Germanic
3926,3926,13/14,Pascal Schürpf,Leihe,FC Basel,Switzerland,German,Germanic,FC Vaduz,Switzerland,German,Germanic
3927,3927,13/14,Kwang-ryong Pak,Leihe,FC Basel,Switzerland,German,Germanic,FC Vaduz,Switzerland,German,Germanic
3928,3928,13/14,Philipp Muntwiler,Leihe,FC Luzern,Switzerland,German,Germanic,FC Vaduz,Switzerland,German,Germanic
3943,3943,13/14,Kwang-ryong Pak,Leih-Ende,FC Vaduz,Switzerland,German,Germanic,FC Basel,Switzerland,German,Germanic
3944,3944,13/14,Philipp Muntwiler,Leih-Ende,FC Vaduz,Switzerland,German,Germanic,FC Luzern,Switzerland,German,Germanic
3953,3953,12/13,Guilherme Afonso,?,FC Sion,Switzerland,French,Romance,FC Vaduz,Switzerland,German,Germanic
3965,3965,12/13,Peter Jehle,Leihe,FC Vaduz,Switzerland,German,Germanic,FC Luzern,Switzerland,German,Germanic
3975,3975,11/12,Matthias Baron,ablösefrei,FC Basel,Switzerland,German,Germanic,FC Vaduz,Switzerland,German,Germanic
3978,3978,11/12,Max Veloso,Leihe,FC Sion,Switzerland,French,Romance,FC Vaduz,Switzerland,German,Germanic
3993,3993,20/21,Mickaël Facchinetti,Leihe,FC Sion,Switzerland,French,Romance,FC Lugano,Switzerland,Italian,Romance
4005,4005,20/21,Leonardo Rivoira,Leihe,FC Lugano,Switzerland,Italian,Romance,AC Bellinzona,Switzerland,Italian,Romance
4014,4014,19/20,Francisco Rodríguez,?,FC Luzern,Switzerland,German,Germanic,FC Lugano,Switzerland,Italian,Romance
4015,4015,19/20,Olivier Custodio,?,FC Luzern,Switzerland,German,Germanic,FC Lugano,Switzerland,Italian,Romance
4016,4016,19/20,Linus Obexer,Leihe,BSC Young Boys,Switzerland,German,Germanic,FC Lugano,Switzerland,Italian,Romance
4042,4042,19/20,Salah Aziz Binous,?,FC Lugano,Switzerland,Italian,Romance,FC Luzern,Switzerland,German,Germanic
4072,4072,18/19,Assan Ceesay,"1,80 Mio. €",FC Lugano,Switzerland,Italian,Romance,FC Zürich,Switzerland,German,Germanic
4084,4084,18/19,Joël Kiassumbua,?,FC Lugano,Switzerland,Italian,Romance,Servette FC,Switzerland,French,Romance
4088,4088,18/19,Salah Aziz Binous,Leihe,FC Lugano,Switzerland,Italian,Romance,FC Zürich,Switzerland,German,Germanic
4091,4091,18/19,Steve Rouiller,?,FC Lugano,Switzerland,Italian,Romance,Servette FC,Switzerland,French,Romance
4105,4105,17/18,Alexander Gerndt,?,BSC Young Boys,Switzerland,German,Germanic,FC Lugano,Switzerland,Italian,Romance
