Column1;Season;Name;Transfer Sum;From;FromCountry;FromLanguage;FromLanguageFamily;To;ToCountry;ToLanguage;ToLanguageFamily
2263;Dez 13;Mike Gomes;ablösefrei;Xamax;Switzerland;French;Romance;Servette FC;Switzerland;French;Romance
2264;Dez 13;Timothée Ndarugendamwo;ablösefrei;Xamax;Switzerland;French;Romance;FC Fribourg;Switzerland;French;Romance
2265;Dez 13;Florent Girardin;ablösefrei;Xamax;Switzerland;French;Romance;FC Serrières;Switzerland;French;Romance
2266;Dez 13;Flavio Cassarà;ablösefrei;Xamax;Switzerland;French;Romance;SC Düdingen;Switzerland;German;Germanic
2267;Dez 13;Cyril Caron;?;Xamax;Switzerland;French;Romance;Celik Zenica;Bosnia-Herzegovina;Bosnian;Slavic
2268;Dez 13;Bastien Geiger;?;Xamax;Switzerland;French;Romance;FC Biel-Bienne;Switzerland;German;Germanic
2269;11. Dez;Nabil Souni;-;Xamax;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2270;11. Dez;Timothée Ndarugendamwo;-;Xamax II;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2271;11. Dez;Mike Gomes;-;Xamax;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2272;11. Dez;Bastien Geiger;-;Xamax;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2273;11. Dez;Jonathan Lara;-;Xamax;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2274;11. Dez;Simon Chatagny;-;Xamax;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2275;11. Dez;Admir Aganovic;-;Xamax;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2276;11. Dez;Sander Keller;-;Xamax;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2277;11. Dez;Thibaut de Coulon;-;Xamax II;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2278;11. Dez;Nabil Souni;ablösefrei;Xamax;Switzerland;French;Romance;FC Sion U21;Switzerland;French;Romance
2279;11. Dez;Simon Chatagny;ablösefrei;Xamax;Switzerland;French;Romance;FC Fribourg;Switzerland;French;Romance
2280;11. Dez;Admir Aganovic;?;Xamax;Switzerland;French;Romance;Syrianska FC;Sweden;Swedish;Germanic
2281;11. Dez;Thibaut de Coulon;Leihe;Xamax;Switzerland;French;Romance;SR Delémont;Switzerland;French;Romance
2282;11. Dez;Sander Keller;-;Xamax;Switzerland;French;Romance;Vereinslos;Vereinslos;Vereinslos;Vereinslos
2285;20/21;Simone Piazza;ablösefrei;FC Lugano U21;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance
2286;20/21;Patrick Rossini;ablösefrei;FC Chiasso;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance
