Country_to;Capital_to;Latitude_to;Longitude_to;Season;Name;Transfer Sum;From;FromCountry;FromLanguage;FromLanguageFamily;To;ToCountry;ToLanguage;ToLanguageFamily;Country_from;Capital_from;Latitude_from;Longitude_from
Switzerland;Bern;46.947974;7.447447;Abgänge 15/16;Christian Casanova;?;AC Bellinzona;Switzerland;Italian;Romance;Malcantone Agno;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
;;;;Abgänge 15/16;Angelo Raso;-;AC Bellinzona;Switzerland;Italian;Romance;Karriereende;Karriereende;Karriereende;Karriereende;Switzerland;Bern;46.947974;7.447447
;;;;Abgänge 15/16;Kubilay Türkyilmaz;-;AC Bellinzona;Switzerland;Italian;Romance;Karriereende;Karriereende;Karriereende;Karriereende;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 14/15;Daniel Panizzolo;ablösefrei;AC Sementina;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 14/15;Stefano Minotti;ablösefrei;AC Sementina;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 14/15;Carmelo Staropoli;ablösefrei;AC Vallemaggia;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 14/15;Branko Bankovic;ablösefrei;FC Mendrisio;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 14/15;Samuele Preisig;ablösefrei;FC Mendrisio;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 14/15;Daniele Facchinetti;ablösefrei;FC Ascona;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 14/15;David Forzano;ablösefrei;FC Lugano;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 14/15;Daniel Maffi;ablösefrei;FC Lugano;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 14/15;Andrea Cappelletti;ablösefrei;FC Chiasso;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
