ID;value
Fortuna Sittard;
SC Heerenveen;
FC Eindhoven;
FC Emmen;
VVV-Venlo;
Excelsior;
De Graafschap;
NAC Breda;
Leeds United;
Montreal Impact;
Western Sydney;
Timbers;
AFC Sunderland;
Livingston FC;
Inverness Cal.;
Bradford City;
FC City;
OC Blues FC;
Brighton & Hove;
Hamilton Acad.;
Swansea City;
FC Southampton;
FC Arsenal;
Colorado Rapids;
Columbus Crew;
FC Chelsea;
Oldham Athletic;
Minnesota Utd.;
NY Cosmos;
Brisbane Roar;
LA Galaxy;
Middlesbrough;
J'ville Armada;
Charlotte Ind.;
Perth Glory;
Dundee United;
Toronto FC;
Bournemouth;
Djurgarden;
Syrianska FC;
AFC Eskilstuna;
Malmö FF;
Hammarby;
AIK Solna;
Gil Vicente;
Casa Pia;
Mirassol-SP;
Avaí FC;
Petro Luanda;
Figueirense FC;
FC Porto U19;
União Madeira;
Desportivo Aves;
Beira-Mar;
Amarante;
Tricordiano-MG;
São Bento (SP);
CD Tondela;
São Carlos;
Independente-SP;
1º de Agosto;
FC Voluntari;
Pandurii ;
AFC Astra;
Sepsi OSK;
Granada B;
Barracas C.;
D. Concepción;
FC Andorra;
R. B. Linense;
Deportivo Lara;
Ponferradina;
Mineros;
Real Saragossa;
Progresso;
Barca U19;
CD Alcoyano;
Albacete;
Herediano;
Mérida AD;
Huachipato FC;
FC Córdoba;
CD Guadalajara;
CD Leganés;
Sporting Gijón;
Betis Sevilla;
FC Getafe;
CD Teneriffa;
Barcelona SC;
FC Cádiz;
SD Huesca;
Real Valladolid;
Aktobe;
Gaziantep BB;
Akhisar Belediye;
Alanyaspor;
Sivasspor;
Samsunspor;
Göztepe;
Galatasaray;
Mersin IY;
Ankaragücü;
Kasimpasa;
C. Rizespor;
Sanliurfaspor ;
Altay SK;
BB Erzurumspor;
Antalyaspor;
Eskisehirspor;
Pazova;
Macva;
Radnicki Nis;
Metalac;
FC Postojna;
NK Aluminij;
NK Ankaran;
NK Domzale;
Levski Sofia;
PFC Beroe ;
ZSKA Sofia;
Chern. Burgas;
Miedz Legnica;
Górnik Zabrze;
Zaglebie Lubin;
Piast Gliwice;
NK Osijek;
Inter Zapresic;
Dinamo Zagreb;
Enisey;
KS Samara;
Terek Grozny;
Kecskeméti TE;
Kaposvár;
Puskás AFC;
Debrecen;
AO Xanthi;
PAS Giannina;
AOK Kerkyra;
Ermis Aradippou;
EN Paralimniou;
AEL Limassol;
Anorthosis;
Platanias;
Nea Salamis;
AEK Larnaka;
Panionios;
APO Levadiakos;
Hamrun Spart.;
Mosta FC;
Maccabi Haifa;
Bnei Sachnin;
Maccabi Netanya;
M. Petah Tikva;
Hapoel Tel Aviv;
FC Prishtina;
KF Teuta;
Ceres-Negros FC;
Shimizu S-Pulse;
Albirex Niigata;
Tskhinvali;
IFK Mariehamn;
Ekenäs IF;
Sandnes Ulf;
Nest-Sotra IL;
Haugesund;
Nordsjaelland;
Bröndby IF;
Aalborg BK;
Viborg FF;
FC Riga;
Dunajska Streda;
Slo. Bratislava;
FC Nitra;
Slovan Liberec;
MFK Karvina;
Zorya Lugansk;
Celik Zenica;
FK Tuzla City;
B. Banja Luka;
FK Sarajevo;
Siroki Brijeg;
NT Zhiyun;
TZ Yuanda;
FC Dallas	;
Ismaily;
Al-Taawon;
Al-Batin;
Al-Fateh;
Al-Gharafa SC;
Ittihad;
Ararat Erewan;
Alashkert;
Tractor;
Zob Ahan;
Pr. Niederkorn;
Sabah FK;
Neftchi Baku;
FCI;
Buriram Utd.;
